;ESCOLARIDADE;TIPO_CONTRATACAO;TITULO_OCUPACAO;ESTADO;VALOR_SALARIO;QTD_VAGAS;QTD_EXPERIENCIA;REQUERIDO_DEFICIENCIA
0;9;3;189;0;0.0;1;6;0
1;9;3;256;0;1200.0;1;6;0
2;9;3;1192;0;0.0;2;6;0
3;12;3;247;0;0.0;2;6;0
4;4;3;813;0;0.0;1;6;0
5;4;3;1394;0;0.0;1;6;0
6;9;3;1048;0;0.0;1;6;0
7;5;3;1577;0;0.0;2;0;0
8;4;3;753;0;0.0;1;6;0
9;5;3;2268;0;0.0;1;6;0
10;4;3;1836;0;0.0;1;6;0
11;9;3;2165;0;0.0;1;6;0
12;13;3;2026;0;0.0;1;6;0
13;9;3;2483;0;0.0;1;6;0
14;4;3;1885;0;0.0;1;6;0
15;5;3;498;0;0.0;1;6;0
0;4;3;728;1;0.0;2;6;0
1;4;3;517;1;0.0;1;6;0
2;9;3;2092;1;0.0;1;6;0
3;10;3;1162;1;0.0;1;6;0
4;9;2;345;1;0.0;4;6;0
5;9;3;510;1;0.0;2;0;0
6;9;3;2468;1;0.0;2;6;0
7;9;3;304;1;1500.0;1;0;0
8;9;3;297;1;0.0;100;0;0
9;5;3;1579;1;0.0;1;6;0
10;4;5;2467;1;0.0;2;0;0
11;9;3;500;1;0.0;3;6;0
12;9;3;2467;1;0.0;5;6;0
13;9;5;2467;1;0.0;10;0;0
14;9;3;2464;1;0.0;1;6;0
15;12;3;1194;1;0.0;1;6;0
16;9;3;1833;1;0.0;2;6;0
17;4;3;2024;1;0.0;1;6;0
18;9;3;2026;1;0.0;1;0;0
0;4;3;220;2;1590.26;2;6;0
1;9;3;404;2;1650.0;1;6;0
2;9;3;1598;2;1641.0;3;6;0
3;9;3;304;2;1269.0;1;6;0
4;9;3;304;2;1200.0;1;6;0
0;11;3;345;3;0.0;8;6;0
0;4;3;1048;4;0.0;2;6;0
1;9;3;374;4;1127.0;1;6;0
2;9;3;2468;4;0.0;3;6;0
3;9;3;2026;4;2000.0;1;0;0
4;9;3;376;4;1337.95;2;0;0
5;9;3;2468;4;0.0;1;6;0
6;4;3;1048;4;0.0;1;6;0
7;4;3;2468;4;0.0;4;6;0
8;4;3;229;4;1500.0;1;6;0
9;5;3;2085;4;1128.0;1;6;0
10;4;3;286;4;0.0;2;6;0
11;9;3;286;4;0.0;1;0;0
12;9;3;1828;4;1100.0;10;0;0
13;5;3;2477;4;1100.0;25;0;0
14;13;3;159;4;0.0;1;6;0
15;9;3;483;4;0.0;12;6;0
16;9;3;383;4;0.0;1;6;0
17;10;3;441;4;0.0;10;6;0
18;11;3;1217;4;0.0;1;6;0
19;9;3;1866;4;0.0;1;6;0
20;9;3;304;4;0.0;1;6;0
21;10;3;2271;4;0.0;5;6;0
22;9;3;345;4;0.0;1;0;0
23;9;3;2379;4;1252.0;1;6;0
24;9;3;285;4;1120.0;5;0;0
25;9;3;575;4;0.0;1;6;0
26;9;3;1238;4;0.0;1;6;0
27;9;3;1798;4;1116.5;3;6;0
28;9;3;1255;4;0.0;1;6;0
29;9;3;345;4;0.0;80;0;0
30;9;3;590;4;880.0;1;0;0
31;9;3;345;4;0.0;1;6;0
32;9;3;1071;4;3000.0;1;6;0
33;9;3;327;4;1270.0;2;6;0
34;5;3;304;4;1331.6;3;0;0
35;4;3;2467;4;0.0;3;0;0
36;5;3;386;4;0.0;3;0;0
37;9;3;1799;4;1124.0;1;6;0
38;13;3;1984;4;0.0;1;6;0
39;13;3;1954;4;0.0;1;6;0
40;9;2;304;4;0.0;1;6;0
41;9;3;304;4;0.0;10;6;0
42;9;3;229;4;0.0;10;6;0
43;13;3;1016;4;0.0;6;6;0
44;9;3;2433;4;0.0;6;6;0
45;9;3;2379;4;0.0;75;6;0
46;4;3;374;4;0.0;4;0;0
47;9;3;835;4;0.0;1;0;0
48;9;3;2266;4;0.0;349;0;0
49;4;3;1223;4;1183.0;2;0;0
50;9;3;1760;4;1251.86;5;6;0
52;9;3;376;4;0.0;10;0;0
53;9;3;1797;4;0.0;100;0;0
54;4;3;376;4;0.0;80;0;0
55;5;3;1848;4;0.0;25;6;0
56;9;3;2026;4;0.0;1;6;0
57;9;3;1435;4;0.0;2;6;0
58;9;3;1435;4;1480.0;1;6;0
59;9;3;1010;4;0.0;1;6;0
60;5;3;1579;4;0.0;9;6;0
61;9;3;1828;4;0.0;1;6;0
63;11;3;260;4;0.0;1;0;0
64;11;3;981;4;0.0;1;0;0
65;11;3;374;4;0.0;1;0;0
66;9;3;1510;4;0.0;2;6;0
67;4;3;374;4;1100.0;1;0;0
68;13;3;121;4;2500.0;1;6;0
69;6;3;680;4;0.0;1;6;0
70;9;3;1551;4;1543.0;1;6;0
71;9;3;700;4;0.0;1;6;0
72;9;3;374;4;0.0;2;6;0
73;10;3;500;4;0.0;1;6;0
74;9;3;282;4;0.0;5;6;0
75;9;3;2464;4;0.0;4;6;0
76;9;3;543;4;0.0;1;6;0
77;9;3;386;4;0.0;1;6;0
78;10;3;1878;4;0.0;1;6;0
79;5;3;2085;4;1128.0;2;3;0
80;9;3;2464;4;0.0;1;6;0
81;9;3;1053;4;0.0;1;6;0
82;9;3;931;4;0.0;28;6;0
83;10;3;376;4;0.0;1;6;0
84;1;3;2125;4;0.0;4;6;0
85;9;5;1598;4;0.0;1;6;0
86;9;3;306;4;0.0;1;6;0
87;9;3;2425;4;0.0;1;6;0
88;9;3;2459;4;0.0;1;6;0
89;4;3;857;4;1200.0;1;6;0
93;4;3;700;4;0.0;1;6;0
94;9;3;2425;4;0.0;1;3;0
95;9;3;282;4;0.0;2;6;0
96;13;3;1074;4;0.0;2;6;0
97;9;3;1598;4;0.0;75;6;0
98;9;3;851;4;0.0;16;6;0
99;13;3;2128;4;0.0;1;6;0
100;9;3;524;4;0.0;3;6;0
101;9;3;1973;4;0.0;2;6;0
102;9;3;652;4;0.0;9;6;0
103;9;3;1059;4;0.0;1;6;0
104;9;3;311;4;0.0;12;6;0
105;5;3;2076;4;0.0;1;6;0
106;9;3;994;4;0.0;2;6;0
107;9;3;2024;4;0.0;60;6;0
108;9;3;489;4;0.0;11;6;0
110;9;3;1908;4;1182.87;1;6;0
111;4;3;2266;4;0.0;5;6;0
112;13;3;147;4;0.0;1;6;0
113;9;3;256;4;0.0;1;6;0
114;9;3;2435;4;2623.0;1;6;0
115;11;3;2485;4;0.0;1;0;0
116;5;3;543;4;0.0;1;0;0
117;5;3;1909;4;0.0;3;0;0
118;9;3;1405;4;0.0;1;6;0
120;4;3;57;4;0.0;1;6;0
121;9;3;1048;4;0.0;1;6;0
122;9;3;2398;4;2040.85;1;6;0
123;5;3;616;4;0.0;1;6;0
124;11;3;753;4;0.0;1;6;0
125;5;3;543;4;1100.0;2;6;0
126;4;3;753;4;1100.0;1;6;0
127;11;3;748;4;0.0;1;6;0
0;4;3;753;5;0.00;1;6;0
1;13;3;257;5;0.00;1;6;0
2;4;3;2266;5;0.00;10;6;0
3;13;3;46;5;0.00;1;6;0
4;13;3;938;5;0.00;1;6;0
5;9;3;1191;5;0.00;1;6;0
6;9;3;1598;5;0.00;1;6;0
7;9;3;1004;5;0.00;1;6;0
8;9;3;327;5;0.00;1;6;0
9;9;3;1048;5;0.00;1;6;0
10;9;3;1973;5;1200.00;1;5;0
11;9;3;376;5;0.00;20;0;0
12;9;3;1053;5;2500.00;1;6;0
13;11;3;753;5;0.00;1;6;0
14;9;3;667;5;1250.00;1;6;0
15;4;3;1529;5;0.00;1;6;0
16;9;3;1885;5;0.00;1;6;0
17;9;3;386;5;0.00;2;6;0
18;9;3;753;5;0.00;1;6;0
19;9;3;1891;5;0.00;1;6;0
20;9;3;1551;5;0.00;1;6;0
21;9;3;317;5;0.00;1;6;0
22;9;3;2009;5;0.00;1;6;0
23;9;3;376;5;0.00;2;6;0
24;9;3;1798;5;1100.00;40;0;0
25;9;3;667;5;0.00;1;6;0
26;13;3;159;5;0.00;1;6;0
27;9;3;1529;5;0.00;1;6;0
28;9;3;1973;5;0.00;1;6;0
29;5;3;1848;5;1698.04;10;6;0
30;12;2;2482;5;0.00;2;0;0
31;5;3;813;5;1698.04;4;6;0
32;4;3;2083;5;0.00;2;6;0
33;5;3;88;5;0.00;2;6;0
34;9;3;304;5;0.00;2;6;0
35;5;3;71;5;0.00;2;6;0
36;9;3;84;5;0.00;1;0;0
37;11;3;1170;5;0.00;1;6;0
38;9;3;2393;5;0.00;1;6;0
39;9;3;2119;5;0.00;1;6;0
40;9;3;2060;5;1100.00;1;6;0
41;9;3;2395;5;0.00;1;6;0
42;9;3;327;5;0.00;2;6;0
43;9;3;2030;5;0.00;10;6;0
44;9;3;2468;5;1400.00;1;6;0
46;9;3;1947;5;0.00;1;6;0
47;9;3;1941;5;0.00;1;6;0
48;9;3;1537;5;0.00;1;6;0
49;9;3;260;5;0.00;1;6;0
50;13;3;313;5;0.00;1;6;0
51;4;3;1492;5;1650.00;1;6;0
52;9;3;1598;5;1214.54;1;0;0
53;9;3;2024;5;1233.46;1;0;0
54;9;3;304;5;0.00;1;0;0
55;5;3;2268;5;0.00;1;0;0
56;9;3;1344;5;0.00;1;6;0
57;5;3;2069;5;0.00;1;6;0
58;11;3;1512;5;4500.00;2;6;0
59;9;3;2026;5;0.00;8;6;0
60;9;3;2026;5;0.00;1;6;0
61;4;3;2068;5;0.00;1;0;0
62;9;3;857;5;0.00;1;6;0
65;9;3;1930;5;0.00;2;6;0
66;9;3;2093;5;0.00;1;6;0
67;9;3;1736;5;1200.00;4;6;0
68;9;3;704;5;1450.00;1;6;0
69;9;3;67;5;1140.00;2;0;0
